father,son,count
b,o,10
b,i,6
b,u,1
b,j,1
b,l,1
b,e,1
o,n,20
o,r,12
o,i,9
o,s,2
o,u,25
o,c,2
o,l,6
o,b,1
o,m,4
o,j,2
o,t,4
n,j,6
n,s,8
n,n,4
n,o,4
n,c,9
n,t,26
n,d,5
n,e,16
n,v,3
n,i,8
n,a,2
n,q,1
n,f,2
j,o,8
j,e,12
j,u,3
r,u,1
r,c,1
r,a,16
r,e,21
r,t,7
r,s,4
r,i,8
r,r,1
r,o,3
r,m,6
r,b,1
r,n,2
u,r,24
u,j,3
u,l,1
u,t,7
u,s,8
u,n,5
u,e,8
u,x,5
u,d,1
u,i,6
u,h,1
u,m,2
u,v,1
m,a,8
m,e,19
m,i,3
m,m,5
m,o,3
m,p,3
a,d,2
a,m,3
a,v,8
a,n,10
a,i,16
a,t,6
a,s,15
a,u,6
a,r,8
a,p,2
a,g,4
a,l,6
a,c,2
a,f,3
a,o,1
a,b,2
d,a,5
d,e,9
d,i,6
d,u,1
d,r,3
d,o,1
e,r,29
e,t,19
e,s,15
e,n,37
e,f,3
e,e,2
e,k,2
e,u,8
e,l,2
e,m,11
e,a,1
e,g,1
e,c,4
e,p,2
e,i,2
e,d,1
c,i,1
c,e,13
c,h,4
c,a,2
c,o,17
c,t,4
c,u,2
c,c,1
i,e,12
i,r,10
i,s,13
i,n,16
i,d,4
i,a,1
i,c,13
i,l,7
i,t,8
i,v,3
i,o,5
i,g,1
v,o,4
v,a,4
v,e,8
v,r,3
v,i,3
t,r,12
t,t,3
t,e,18
t,u,7
t,a,8
t,h,1
t,s,4
t,i,5
t,n,1
t,o,4
t,y,1
s,m,1
s,u,8
s,t,9
s,s,9
s,a,3
s,p,3
s,e,19
s,q,1
s,o,3
s,i,6
s,y,1
s,r,1
l,e,17
l,l,4
l,i,7
l,o,5
l,a,10
l,u,2
l,s,2
f,f,3
f,e,3
f,l,1
f,a,2
f,i,10
f,o,6
h,i,1
h,e,4
h,a,2
w,e,2
p,o,13
p,e,6
p,a,14
p,p,1
p,r,4
p,i,1
p,l,4
p,u,2
p,s,1
q,u,7
g,e,4
g,m,1
g,n,1
y,n,1
y,p,1
