father,son,count
m,i,1906
m,a,3848
m,g,1
m,s,118
m,e,6193
m,r,418
m,c,2
m,p,1188
m,b,833
m,n,86
m,m,1693
m,o,2528
m,t,29
m,u,456
m,y,579
m,v,2
m,d,1
m,l,17
m,f,4
m,w,2
m,h,2
i,m,1265
i,n,8602
i,t,10907
i,a,711
i,e,4988
i,f,602
i,g,1209
i,z,97
i,c,1328
i,d,1522
i,s,6802
i,o,1732
i,l,6061
i,q,297
i,r,3405
i,b,448
i,v,836
i,h,16
i,u,23
i,p,165
i,x,363
i,i,73
i,j,7
i,k,125
i,w,9
a,g,1161
a,i,10384
a,l,3091
a,d,1694
a,b,1186
a,m,1421
a,t,4310
a,s,4369
a,r,5240
a,p,1331
a,u,3127
a,v,3504
a,n,9105
a,c,1571
a,o,27
a,f,381
a,x,15
a,z,26
a,w,300
a,q,108
a,y,884
a,j,86
a,h,166
a,a,14
a,e,9
a,k,306
g,e,1859
g,r,836
g,n,701
g,i,392
g,a,870
g,u,460
g,t,130
g,l,672
g,m,46
g,o,440
g,g,60
g,d,4
g,h,637
g,s,118
g,y,12
g,f,5
g,w,6
g,v,1
g,p,2
g,c,2
g,b,2
d,o,1745
d,i,3156
d,e,9523
d,s,324
d,u,1071
d,a,2278
d,c,25
d,l,155
d,t,62
d,r,809
d,b,23
d,p,22
d,y,123
d,v,22
d,m,111
d,n,78
d,h,26
d,g,35
d,d,158
d,q,5
d,j,11
d,w,23
d,f,19
d,k,2
o,u,10189
o,r,3946
o,s,1397
o,w,992
o,e,309
o,t,1999
o,p,461
o,n,9727
o,l,1364
o,f,1580
o,m,3294
o,i,3670
o,b,387
o,g,194
o,c,752
o,q,79
o,y,434
o,j,11
o,d,360
o,v,264
o,o,865
o,a,84
o,h,313
o,x,25
o,z,3
o,k,304
u,b,409
u,n,4139
u,p,950
u,s,4031
u,h,15
u,r,6246
u,x,1407
u,i,3820
u,e,4204
u,l,1494
u,d,473
u,t,3562
u,g,535
u,v,933
u,c,687
u,j,158
u,a,724
u,o,158
u,y,42
u,m,456
u,q,37
u,f,217
u,u,1
u,z,38
u,w,2
u,k,3
b,l,1546
b,s,208
b,a,913
b,b,34
b,o,1196
b,j,83
b,i,710
b,r,975
b,e,1662
b,u,647
b,y,212
b,n,5
b,m,3
b,d,4
b,v,14
b,t,39
b,h,1
b,f,3
l,e,11066
l,p,92
l,a,6019
l,l,4455
l,d,743
l,o,1751
l,t,272
l,i,2360
l,s,410
l,h,84
l,u,1822
l,g,44
l,q,337
l,n,43
l,c,52
l,r,34
l,f,283
l,m,85
l,v,31
l,y,1433
l,x,1
l,b,47
l,j,196
l,w,50
l,k,73
p,a,3610
p,h,215
p,p,759
p,s,357
p,l,1596
p,e,2605
p,o,3155
p,r,2563
p,i,762
p,t,337
p,u,656
p,d,4
p,y,9
p,m,52
p,v,1
p,c,2
p,b,9
p,q,1
p,f,1
n,t,9075
n,g,2930
n,d,4355
n,f,552
n,o,2725
n,i,1369
n,c,2196
n,a,1537
n,u,635
n,n,1203
n,s,4334
n,e,6007
n,r,82
n,h,74
n,v,401
n,z,39
n,l,245
n,p,64
n,y,213
n,q,249
n,b,36
n,k,197
n,w,17
n,j,51
n,m,43
n,x,22
t,i,3879
t,e,7190
t,l,523
t,o,3942
t,t,1811
t,h,7048
t,a,3898
t,r,3531
t,p,123
t,s,1045
t,y,284
t,u,1025
t,m,75
t,z,6
t,c,194
t,d,165
t,g,18
t,v,32
t,q,56
t,n,51
t,j,18
t,b,34
t,f,96
t,w,178
t,k,1
r,h,85
r,e,11501
r,a,3893
r,d,1519
r,s,2115
r,o,3586
r,k,119
r,c,610
r,i,3685
r,f,98
r,m,708
r,t,2121
r,n,621
r,r,1239
r,v,311
r,p,532
r,u,711
r,q,121
r,l,390
r,j,9
r,g,417
r,b,144
r,y,661
r,z,2
r,w,48
h,o,2463
h,a,4405
h,e,7820
h,u,320
h,i,2134
h,n,272
h,l,45
h,s,15
h,m,17
h,r,124
h,y,114
h,t,448
h,f,15
h,w,6
h,c,4
h,d,5
h,b,5
h,h,3
h,p,2
e,r,8951
e,s,11509
e,n,11408
e,o,154
e,a,2413
e,t,6149
e,x,662
e,c,1743
e,y,298
e,u,4344
e,d,3448
e,m,3044
e,l,4391
e,v,1423
e,p,961
e,q,154
e,z,823
e,g,352
e,e,979
e,f,654
e,j,52
e,i,1280
e,b,181
e,h,201
e,k,27
e,w,208
s,t,4557
s,i,2899
s,x,1
s,h,1248
s,s,2843
s,e,5966
s,o,3495
s,u,1832
s,a,3430
s,c,725
s,q,333
s,r,56
s,y,107
s,p,872
s,n,77
s,m,185
s,g,49
s,b,98
