father,son,count
c,h,709
c,a,918
c,c,104
c,o,1115
c,t,495
c,e,1108
c,i,277
c,u,254
c,k,300
c,r,236
c,l,213
c,y,132
c,q,13
c,s,6
c,m,1
h,a,3052
h,e,6350
h,i,1744
h,o,1405
h,s,12
h,n,268
h,t,436
h,r,105
h,u,106
h,f,14
h,y,83
h,l,23
h,w,6
h,c,4
h,d,5
h,b,5
h,h,3
h,m,12
h,p,2
a,p,352
a,r,1719
a,t,2715
a,s,2296
a,v,786
a,n,2907
a,m,447
a,c,608
a,l,1269
a,f,183
a,i,838
a,d,1012
a,k,303
a,y,576
a,b,376
a,g,340
a,u,239
a,z,10
a,a,5
a,w,299
a,o,11
a,h,55
a,x,3
a,e,1
a,q,1
p,t,128
p,u,118
p,o,980
p,e,681
p,r,479
p,a,379
p,l,353
p,s,122
p,p,271
p,i,211
p,h,57
p,b,9
p,y,6
p,m,8
p,d,1
p,q,1
p,f,1
t,e,1977
t,o,1939
t,y,255
t,h,6734
t,i,1191
t,t,520
t,r,562
t,u,313
t,a,781
t,l,418
t,w,178
t,s,263
t,f,44
t,c,89
t,n,38
t,m,34
t,g,3
t,p,10
t,d,11
t,v,1
t,b,9
t,q,1
t,k,1
t,j,1
e,r,3954
e,s,1815
e,n,2511
e,d,3057
e,t,1030
e,w,208
e,v,532
e,l,1160
e,e,884
e,m,633
e,f,297
e,c,601
e,i,253
e,p,289
e,a,1389
e,u,67
e,x,349
e,y,266
e,o,86
e,k,23
e,g,78
e,h,95
e,z,3
e,b,52
e,q,39
e,j,13
g,o,287
g,i,160
g,h,626
g,a,255
g,e,482
g,s,102
g,r,249
g,u,86
g,l,451
g,g,56
g,m,29
g,n,78
g,t,21
g,w,6
g,y,8
g,v,1
g,p,2
g,c,2
g,d,3
g,f,4
g,b,2
s,t,2047
s,e,1617
s,o,757
s,u,516
s,i,859
s,s,729
s,k,182
s,a,681
s,p,345
s,c,181
s,h,1216
s,q,8
s,m,89
s,r,14
s,y,48
s,l,140
s,b,60
s,w,79
s,n,55
s,d,37
s,f,32
s,v,3
s,g,15
s,j,2
y,l,75
y,b,17
y,i,98
y,e,408
y,a,46
y,o,1176
y,s,184
y,m,40
y,y,6
y,n,141
y,c,89
y,d,16
y,w,35
y,t,81
y,p,24
y,h,8
y,v,2
y,g,2
y,r,8
y,f,15
y,j,3
y,k,1
y,z,1
y,u,3
l,e,1677
l,i,900
l,d,680
l,y,1396
l,v,14
l,l,1487
l,a,755
l,o,669
l,n,7
l,w,49
l,t,173
l,u,125
l,f,255
l,m,42
l,k,73
l,c,8
l,g,19
l,b,9
l,p,48
l,s,127
l,r,18
l,h,1
i,n,4607
i,c,631
i,m,656
i,d,931
i,e,690
i,t,2308
i,r,897
i,l,770
i,s,2215
i,o,610
i,v,241
i,f,351
i,g,440
i,a,272
i,k,124
i,p,69
i,b,166
i,h,11
i,z,64
i,u,13
i,x,37
i,i,11
i,w,9
i,j,1
i,q,6
n,t,1446
n,s,524
n,o,1572
n,e,1384
n,v,88
n,d,2315
n,c,673
n,a,305
n,g,2241
n,n,146
n,i,580
n,l,194
n,f,91
n,q,37
n,y,199
n,b,15
n,k,193
n,p,11
n,u,111
n,m,20
n,w,16
n,r,10
n,h,20
n,x,16
n,j,13
n,z,1
r,e,3156
r,o,1486
r,t,431
r,l,135
r,i,919
r,y,619
