date ; stroke
2019-01-29 13:44:35,681 ; up
2019-01-29 13:44:36,034 ; up
2019-01-29 13:44:36,452 ; up
2019-01-29 13:44:36,778 ; up
2019-01-29 13:44:37,201 ; up
2019-01-29 13:44:37,504 ; up
2019-01-29 13:44:37,846 ; up
2019-01-29 13:44:38,215 ; up
2019-01-29 13:44:38,731 ; left
2019-01-29 13:44:40,133 ; right
2019-01-29 13:44:40,957 ; shift
2019-01-29 13:44:41,142 ; _
2019-01-29 13:44:41,696 ; j
2019-01-29 13:44:41,740 ; s
2019-01-29 13:44:43,079 ; enter
2019-01-29 13:45:02,905 ; down
2019-01-29 13:45:03,492 ; enter
2019-01-29 13:45:03,783 ; up
2019-01-29 13:45:31,361 ; tab
2019-01-29 13:45:31,616 ; v
2019-01-29 13:45:31,775 ; a
2019-01-29 13:45:31,900 ; r
2019-01-29 13:45:32,396 ; space
2019-01-29 13:45:32,572 ; m
2019-01-29 13:45:32,628 ; a
2019-01-29 13:45:32,927 ; r
2019-01-29 13:45:33,111 ; g
2019-01-29 13:45:33,204 ; i
2019-01-29 13:45:33,356 ; n
2019-01-29 13:45:34,590 ; space
2019-01-29 13:45:34,735 ; =
2019-01-29 13:45:34,758 ; space
2019-01-29 13:45:36,775 ; alt
2019-01-29 13:45:36,875 ; 5
2019-01-29 13:45:39,270 ; t
2019-01-29 13:45:39,406 ; o
2019-01-29 13:45:39,599 ; p
2019-01-29 13:45:43,092 ; :
2019-01-29 13:45:43,289 ; space
2019-01-29 13:45:43,516 ; shift
2019-01-29 13:45:44,148 ; 8
2019-01-29 13:45:44,440 ; 0
2019-01-29 13:45:45,493 ; ,
2019-01-29 13:45:45,705 ; space
2019-01-29 13:45:46,081 ; r
2019-01-29 13:45:46,230 ; i
2019-01-29 13:45:46,339 ; g
2019-01-29 13:45:46,474 ; h
2019-01-29 13:45:46,568 ; t
2019-01-29 13:45:47,181 ; :
2019-01-29 13:45:47,383 ; shift
2019-01-29 13:45:47,987 ; 8
2019-01-29 13:45:48,163 ; 0
2019-01-29 13:45:48,849 ; ,
2019-01-29 13:45:49,063 ; space
2019-01-29 13:45:50,463 ; b
2019-01-29 13:45:50,692 ; o
2019-01-29 13:45:50,860 ; t
2019-01-29 13:45:51,447 ; t
2019-01-29 13:45:51,563 ; o
2019-01-29 13:45:51,765 ; m
2019-01-29 13:45:52,522 ; :
2019-01-29 13:45:53,507 ; shift
2019-01-29 13:45:54,003 ; 8
2019-01-29 13:45:54,151 ; 0
2019-01-29 13:45:55,538 ; ,
2019-01-29 13:45:56,189 ; space
2019-01-29 13:45:56,448 ; l
2019-01-29 13:45:56,528 ; e
2019-01-29 13:45:56,636 ; f
2019-01-29 13:45:56,906 ; t
2019-01-29 13:45:57,888 ; :
2019-01-29 13:45:58,106 ; space
2019-01-29 13:45:58,909 ; shift
2019-01-29 13:45:59,117 ; 8
2019-01-29 13:45:59,277 ; 0
2019-01-29 13:46:00,785 ; right
2019-01-29 13:46:01,194 ; enter
2019-01-29 13:46:02,021 ; w
2019-01-29 13:46:02,376 ; i
2019-01-29 13:46:02,725 ; d
2019-01-29 13:46:02,930 ; t
2019-01-29 13:46:03,051 ; h
2019-01-29 13:46:03,538 ; space
2019-01-29 13:46:03,805 ; =
2019-01-29 13:46:03,888 ; space
2019-01-29 13:46:04,744 ; shift
2019-01-29 13:46:05,419 ; 9
2019-01-29 13:46:05,719 ; 0
2019-01-29 13:46:05,871 ; 0
2019-01-29 13:46:07,997 ; space
