date ; stroke
2019-02-01 11:45:29,552 ; enter
2019-02-01 11:46:24,908 ; shift_r
2019-02-01 11:46:25,020 ; b
2019-02-01 11:46:25,156 ; o
2019-02-01 11:46:25,276 ; n
2019-02-01 11:46:25,356 ; j
2019-02-01 11:46:25,476 ; o
2019-02-01 11:46:25,564 ; r
2019-02-01 11:46:25,572 ; u
2019-02-01 11:46:25,676 ; space
2019-02-01 11:46:26,180 ; backspace
2019-02-01 11:46:26,348 ; backspace
2019-02-01 11:46:26,476 ; backspace
2019-02-01 11:46:27,188 ; u
2019-02-01 11:46:27,300 ; r
2019-02-01 11:46:27,325 ; space
2019-02-01 11:46:28,556 ; shift_r
2019-02-01 11:46:28,636 ; m
2019-02-01 11:46:28,708 ; a
2019-02-01 11:46:28,900 ; d
2019-02-01 11:46:29,476 ; a
2019-02-01 11:46:29,620 ; m
2019-02-01 11:46:29,716 ; e
2019-02-01 11:46:29,972 ; ,
2019-02-01 11:46:30,564 ; enter
2019-02-01 11:46:30,948 ; enter
2019-02-01 11:46:31,244 ; shift_r
2019-02-01 11:46:31,324 ; m
2019-02-01 11:46:31,444 ; e
2019-02-01 11:46:31,508 ; r
2019-02-01 11:46:31,748 ; c
2019-02-01 11:46:31,892 ; i
2019-02-01 11:46:32,108 ; e
2019-02-01 11:46:32,628 ; backspace
2019-02-01 11:46:32,780 ; space
2019-02-01 11:46:32,900 ; d
2019-02-01 11:46:32,996 ; e
2019-02-01 11:46:33,132 ; space
2019-02-01 11:46:33,244 ; m
2019-02-01 11:46:33,428 ; '
2019-02-01 11:46:33,532 ; a
2019-02-01 11:46:34,092 ; v
2019-02-01 11:46:34,284 ; o
2019-02-01 11:46:34,356 ; i
2019-02-01 11:46:34,428 ; r
2019-02-01 11:46:34,468 ; space
2019-02-01 11:46:34,788 ; t
2019-02-01 11:46:34,868 ; r
2019-02-01 11:46:35,076 ; a
2019-02-01 11:46:35,236 ; n
2019-02-01 11:46:35,372 ; s
2019-02-01 11:46:36,084 ; m
2019-02-01 11:46:36,324 ; i
2019-02-01 11:46:37,892 ; backspace
2019-02-01 11:46:38,012 ; s
2019-02-01 11:46:38,540 ; backspace
2019-02-01 11:46:38,844 ; i
2019-02-01 11:46:38,932 ; s
2019-02-01 11:46:39,044 ; cmd
2019-02-01 11:46:43,106 ; space
2019-02-01 11:46:43,354 ; c
2019-02-01 11:46:43,458 ; e
2019-02-01 11:46:43,602 ; t
2019-02-01 11:46:43,714 ; t
2019-02-01 11:46:44,034 ; e
2019-02-01 11:46:44,146 ; space
2019-02-01 11:46:44,442 ; a
2019-02-01 11:46:44,594 ; n
2019-02-01 11:46:44,722 ; n
2019-02-01 11:46:44,946 ; o
2019-02-01 11:46:45,258 ; n
2019-02-01 11:46:45,362 ; c
2019-02-01 11:46:45,450 ; e
2019-02-01 11:46:49,781 ; ,
2019-02-01 11:46:49,901 ; space
2019-02-01 11:46:50,365 ; l
2019-02-01 11:46:50,469 ; e
2019-02-01 11:46:50,677 ; space
2019-02-01 11:46:50,933 ; s
2019-02-01 11:46:51,053 ; u
2019-02-01 11:46:51,189 ; j
2019-02-01 11:46:51,349 ; e
2019-02-01 11:46:51,437 ; t
2019-02-01 11:46:51,589 ; space
2019-02-01 11:46:51,885 ; e
2019-02-01 11:46:52,037 ; s
2019-02-01 11:46:52,149 ; t
2019-02-01 11:46:52,301 ; space
2019-02-01 11:46:52,597 ; e
2019-02-01 11:46:52,749 ; n
2019-02-01 11:46:52,885 ; space
2019-02-01 11:46:52,965 ; e
