father,son,count
b,o,13
b,i,7
b,t,2
b,u,1
b,j,1
b,l,1
b,e,2
b,a,1
o,n,34
o,r,17
o,i,10
o,s,3
o,u,35
o,c,4
o,l,7
o,b,3
o,m,5
o,j,2
o,t,6
o,o,1
o,v,1
n,j,7
n,s,14
n,n,5
n,o,8
n,c,13
n,t,31
n,d,8
n,e,18
n,v,3
n,i,10
n,a,2
n,q,1
n,f,3
n,u,3
j,o,9
j,e,14
j,u,3
r,u,2
r,c,2
r,a,17
r,e,24
r,f,3
r,t,9
r,s,15
r,i,11
r,r,1
r,o,6
r,m,8
r,b,1
r,n,3
r,l,1
r,q,1
r,d,1
u,r,32
u,j,3
u,l,6
u,t,10
u,s,12
u,n,5
u,e,13
u,x,5
u,d,1
u,i,8
u,h,2
u,m,2
u,v,3
m,a,11
m,e,24
m,i,3
m,m,7
m,o,4
m,p,3
m,u,1
m,l,2
a,d,2
a,m,4
a,v,11
a,n,11
a,i,20
a,t,12
a,s,17
a,u,7
a,r,16
a,p,6
a,g,4
a,l,8
a,c,4
a,f,3
a,o,1
a,b,3
a,y,1
d,a,6
d,e,18
d,i,8
d,u,1
d,r,4
d,s,1
d,o,2
d,n,1
e,r,36
e,t,23
e,s,23
e,n,45
e,f,4
e,e,2
e,k,2
e,u,10
e,l,4
e,m,12
e,a,1
e,g,1
e,c,5
e,p,2
e,i,3
e,d,3
e,v,1
c,i,2
c,e,21
c,h,7
c,a,4
c,o,20
c,t,5
c,u,2
c,c,1
c,r,1
c,l,1
i,e,14
i,r,13
i,s,16
i,n,20
i,d,5
i,a,4
i,c,15
i,l,9
i,t,13
i,v,3
i,o,10
i,g,1
v,o,7
v,a,8
v,e,10
v,r,3
v,i,3
t,r,13
t,t,3
t,e,20
t,u,7
t,a,15
t,h,2
t,s,9
t,i,11
t,n,2
t,o,6
t,y,1
t,l,1
t,c,1
s,m,1
s,u,14
s,t,12
s,s,13
s,a,3
s,p,4
s,e,22
s,q,2
s,o,6
s,i,9
s,y,1
s,r,1
l,e,24
l,c,1
l,l,7
l,i,8
l,o,8
l,a,15
l,u,3
l,s,2
l,q,1
l,y,1
l,t,3
l,n,1
f,f,3
f,e,4
f,l,1
f,a,3
f,i,11
f,o,7
f,v,1
f,r,1
h,i,1
h,e,7
h,a,3
h,s,2
h,y,1
w,e,2
p,o,18
p,e,7
p,r,10
p,a,20
p,p,4
p,i,1
p,l,4
p,u,2
p,s,1
p,c,1
p,m,1
q,u,13
g,e,4
g,m,1
g,n,1
g,u,1
y,n,1
y,p,2
y,e,1
