date ; stroke
2019-01-29 22:20:31,164 ; up
2019-01-29 22:20:31,511 ; down
2019-01-29 22:20:31,703 ; down
2019-01-29 22:20:46,302 ; up
2019-01-29 22:20:46,502 ; up
2019-01-29 22:20:47,374 ; right
2019-01-29 22:20:47,689 ; down
2019-01-29 22:20:47,862 ; down
2019-01-29 22:20:48,022 ; down
2019-01-29 22:20:48,351 ; down
2019-01-29 22:20:50,774 ; up
2019-01-29 22:20:50,950 ; up
2019-01-29 22:20:52,784 ; right
2019-01-29 22:20:53,343 ; down
2019-01-29 22:20:53,791 ; up
2019-01-29 22:20:54,055 ; down
2019-01-29 22:20:54,311 ; up
2019-01-29 22:20:58,345 ; left
2019-01-29 22:20:59,224 ; up
2019-01-29 22:20:59,648 ; down
2019-01-29 22:20:59,856 ; down
2019-01-29 22:21:00,009 ; down
2019-01-29 22:21:00,144 ; down
2019-01-29 22:21:00,297 ; down
2019-01-29 22:21:00,433 ; down
2019-01-29 22:21:00,577 ; down
2019-01-29 22:21:00,729 ; down
2019-01-29 22:21:00,977 ; down
2019-01-29 22:21:01,136 ; down
2019-01-29 22:21:01,441 ; down
2019-01-29 22:21:01,561 ; down
2019-01-29 22:21:01,728 ; down
2019-01-29 22:21:02,040 ; down
2019-01-29 22:21:02,208 ; down
2019-01-29 22:21:02,400 ; down
2019-01-29 22:21:02,569 ; down
2019-01-29 22:21:02,728 ; down
2019-01-29 22:21:02,945 ; down
2019-01-29 22:21:03,304 ; up
2019-01-29 22:21:03,480 ; up
2019-01-29 22:21:03,656 ; up
2019-01-29 22:21:03,832 ; up
2019-01-29 22:21:03,920 ; up
2019-01-29 22:21:04,176 ; up
2019-01-29 22:21:04,312 ; up
2019-01-29 22:21:04,488 ; up
2019-01-29 22:21:04,640 ; up
2019-01-29 22:21:04,808 ; up
2019-01-29 22:21:04,944 ; up
2019-01-29 22:21:05,104 ; up
2019-01-29 22:21:05,688 ; right
2019-01-29 22:21:06,248 ; right
2019-01-29 22:21:06,920 ; down
2019-01-29 22:21:07,113 ; down
2019-01-29 22:21:08,329 ; up
