father,son,count
m,i,4
m,a,23
m,g,1
m,s,4
m,e,1
m,r,1
i,m,22
i,n,8
i,t,3
i,a,2
i,e,2
i,f,3
i,g,5
i,z,2
i,c,1
i,d,2
i,s,1
a,g,15
a,i,1
a,l,10
a,d,4
a,b,15
a,m,1
a,t,9
a,s,6
a,r,2
a,p,2
a,u,2
a,v,1
g,e,17
g,r,3
g,n,5
d,o,12
d,i,2
d,e,5
d,s,1
o,u,15
o,r,3
o,s,3
o,w,4
o,e,1
o,t,2
o,p,1
o,n,3
o,l,5
o,f,1
o,m,3
u,b,11
u,n,4
u,p,7
u,s,2
u,h,1
u,r,1
b,l,11
b,s,12
b,a,4
b,b,1
l,e,14
l,p,4
l,a,4
l,l,3
l,d,3
l,o,2
l,t,1
p,a,3
p,h,4
p,p,6
p,s,1
p,l,1
n,t,7
n,g,1
n,d,7
n,f,1
n,o,1
t,i,1
t,e,4
t,l,3
t,o,1
t,t,1
t,h,3
t,a,3
t,r,6
t,p,1
r,h,4
r,e,17
r,a,4
r,d,1
r,s,2
r,o,7
r,k,1
r,c,1
r,i,1
r,f,1
h,o,12
h,a,4
h,e,3
e,r,4
e,s,14
e,n,3
e,o,3
e,a,8
e,t,4
e,x,3
e,c,3
s,t,7
s,i,7
s,x,1
s,h,5
s,s,2
s,e,4
s,o,1
s,u,1
s,a,1
f,f,12
f,t,10
f,o,1
f,r,3
z,e,3
w,o,1
w,m,1
x,e,1
x,p,2
c,i,1
c,e,1
c,l,3
c,t,1
c,c,1
c,o,2
c,r,1
v,e,4
v,i,2
