father,son,count
l,i,1437
l,e,9190
l,l,2926
l,a,5185
l,s,259
l,u,1644
l,o,1034
l,q,335
l,t,88
l,c,42
l,r,16
l,d,59
l,p,40
l,g,21
l,n,32
l,h,69
l,f,28
l,m,43
l,v,16
l,y,35
l,x,1
l,b,38
l,j,196
i,v,583
i,e,4181
i,t,8500
i,m,567
i,s,4453
i,g,748
i,l,5233
i,r,2432
i,x,326
i,n,3904
i,q,261
i,c,645
i,a,427
i,o,1080
i,p,87
i,d,565
i,b,277
i,f,228
i,i,62
i,z,30
i,h,3
i,u,9
i,j,6
i,k,1
v,r,519
v,e,2606
v,i,1459
v,o,2275
v,a,2471
v,u,123
v,l,3
v,q,1
v,c,2
v,d,1
v,t,3
v,m,1
v,v,1
v,f,1
v,b,1
r,e,8139
r,i,2665
r,l,253
r,a,3157
r,d,965
r,o,2049
r,u,499
r,r,928
r,t,1641
r,v,229
r,g,337
r,s,1191
r,m,532
r,n,342
r,p,106
r,c,413
r,b,121
r,j,3
r,q,118
r,f,44
r,h,6
r,y,38
r,z,2
p,r,1999
p,i,547
p,a,3154
p,u,530
p,e,1877
p,o,2120
p,t,195
p,l,1218
p,s,227
p,p,466
p,h,153
p,y,3
p,d,2
p,m,43
p,v,1
p,c,1
e,m,2343
e,r,4856
e,c,1114
e,u,4230
e,l,3173
e,n,8645
e,s,9400
e,i,1015
e,d,368
e,p,662
e,x,294
e,t,4983
e,z,815
e,a,982
e,f,345
e,g,267
e,v,886
e,b,125
e,q,112
e,e,91
e,j,37
e,o,65
e,h,106
e,y,10
e,k,1
m,i,1141
m,o,1883
m,y,133
m,a,2919
m,e,4470
m,p,913
m,m,1610
m,b,684
m,n,57
m,u,171
m,t,16
m,s,16
m,v,1
m,d,1
m,r,1
u,n,3438
u,s,3049
u,r,5060
u,e,3786
u,i,3511
u,p,554
u,o,144
u,c,480
u,t,2518
u,x,1376
u,v,917
u,l,701
u,d,322
u,b,301
u,m,319
u,f,195
u,j,147
u,g,176
u,a,599
u,u,1
u,y,35
u,z,26
u,q,36
u,h,11
j,u,252
j,o,537
j,e,1356
j,a,389
s,t,2346
s,i,2000
s,o,2688
s,u,1274
s,e,4247
s,s,2074
s,a,2733
s,p,517
s,n,21
s,q,320
s,c,429
s,h,24
s,g,33
s,b,38
s,l,98
s,d,151
s,m,93
s,f,73
s,v,22
s,j,10
s,r,39
s,y,25
s,w,1
s,k,1
t,e,5051
t,r,2905
t,a,3025
t,o,1924
t,i,2599
t,s,754
t,u,659
t,t,1261
t,d,153
t,v,31
t,p,109
t,q,55
t,n,11
t,c,103
t,h,278
t,g,11
t,j,17
t,y,22
t,l,99
t,b,24
t,f,52
t,m,32
t,z,5
c,h,2713
c,c,270
c,u,502
c,e,4170
c,o,2951
c,t,389
c,i,839
c,r,671
c,l,335
c,a,857
c,s,106
c,y,6
c,q,17
c,d,1
c,k,1
c,z,2
c,b,1
c,p,2
h,a,1337
h,e,1418
h,o,1031
h,u,212
h,m,5
h,i,345
h,r,19
h,y,30
h,t,2
h,l,21
a,p,956
a,r,3379
a,n,6082
a,i,9463
a,u,2850
a,v,2675
a,c,932
a,s,2016
a,g,783
a,m,960
a,l,1732
a,q,107
a,d,666
a,t,1498
a,y,296
a,f,191
a,j,86
a,b,783
a,z,15
a,x,3
a,h,111
a,a,8
a,e,8
a,o,13
a,k,2
o,n,7129
o,i,2852
o,c,439
o,u,7038
o,p,231
o,s,888
o,m,2312
o,b,223
o,r,1967
o,l,857
o,y,372
o,e,240
o,f,143
o,q,69
o,t,445
o,g,94
o,d,101
o,a,3
o,h,43
o,v,38
o,o,4
o,x,4
o,j,4
o,z,2
n,s,3721
n,v,306
n,u,516
n,e,4521
n,t,7481
n,z,38
n,i,767
n,d,1978
n,o,1110
n,n,1035
n,g,653
n,f,456
n,c,1440
n,l,50
n,a,1210
n,h,53
n,p,52
n,r,70
n,y,11
n,q,211
n,b,21
n,k,4
n,w,1
n,j,31
n,m,23
n,x,6
y,r,58
y,a,311
y,s,187
y,e,284
y,o,73
y,p,12
y,t,11
y,m,13
y,c,5
y,g,3
y,l,13
y,n,8
y,f,1
y,i,1
y,u,2
y,d,4
y,x,1
f,r,531
f,o,768
f,a,1869
f,i,763
f,e,606
f,f,514
f,u,255
f,l,213
f,s,17
f,q,2
f,d,1
f,m,1
f,c,1
b,i,595
b,r,785
b,l,1137
b,e,456
b,o,806
b,s,119
b,a,617
b,b,20
b,y,9
b,u,124
b,j,18
b,n,3
b,m,2
b,d,3
b,v,1
b,t,1
b,h,1
q,u,6531
q,c,1
q,s,1
q,a,1
q,h,1
q,d,1
d,e,8059
d,i,2201
d,a,1941
d,u,966
d,o,834
d,r,506
d,s,144
d,h,4
d,v,3
d,m,40
d,g,2
d,p,2
d,l,4
d,t,1
d,c,2
d,d,7
d,q,3
d,j,5
d,n,1
g,n,611
g,e,1313
g,t,107
g,a,611
g,r,574
g,i,209
g,u,357
g,l,218
g,o,147
g,m,15
g,d,1
g,h,2
g,s,15
g,g,3
g,y,4
g,f,1
x,a,60
x,i,84
x,q,21
x,p,86
x,e,58
x,t,58
x,d,7
x,m,10
x,s,9
x,c,49
x,o,16
x,g,5
x,l,9
x,h,10
x,v,20
x,f,7
x,j,3
x,n,5
x,b,2
x,y,2
x,r,2
x,u,1
z,e,70
z,d,3
z,a,18
z,p,6
z,h,1
z,i,5
z,s,1
z,o,19
z,r,2
z,t,1
z,l,5
z,b,4
z,g,1
z,u,5
z,z,2
z,m,2
k,e,4
k,i,2
k,y,2
k,a,3
k,s,1
w,a,8
w,e,2
