date ; stroke
2019-02-03 14:49:51,249 ; m
2019-02-03 14:49:52,370 ; enter
2019-02-03 15:14:06,541 ; esc
2019-02-03 15:37:07,973 ; right
2019-02-03 15:37:09,224 ; right
2019-02-03 15:37:10,741 ; right
2019-02-03 15:45:02,185 ; m
2019-02-03 15:45:02,514 ; c
2019-02-03 15:45:02,725 ; f
2019-02-03 15:46:04,281 ; g
2019-02-03 15:46:04,345 ; i
2019-02-03 15:46:04,494 ; t
2019-02-03 15:46:06,699 ; enter
2019-02-03 15:46:27,408 ; t
2019-02-03 15:46:27,617 ; r
2019-02-03 15:46:27,845 ; i
2019-02-03 15:46:28,058 ; d
2019-02-03 15:46:28,240 ; e
2019-02-03 15:46:28,334 ; t
2019-02-03 15:46:29,123 ; .
2019-02-03 15:46:30,303 ; enter
2019-02-03 15:46:51,319 ; /
2019-02-03 15:46:51,622 ; shift
2019-02-03 15:46:51,766 ; k
2019-02-03 15:46:51,950 ; e
2019-02-03 15:46:52,049 ; y
2019-02-03 15:46:52,325 ; s
2019-02-03 15:46:52,700 ; shift
2019-02-03 15:46:52,777 ; v
2019-02-03 15:46:53,373 ; i
2019-02-03 15:46:53,535 ; z
2019-02-03 15:46:53,966 ; enter
2019-02-03 15:47:06,448 ; ctrl_l
2019-02-03 15:47:06,947 ; c
2019-02-03 15:47:19,704 ; ctrl_l
2019-02-03 15:47:19,817 ; v
2019-02-03 15:47:23,800 ; shift
2019-02-03 15:47:24,299 ; shift
2019-02-03 15:47:24,331 ; shift
2019-02-03 15:47:24,363 ; shift
2019-02-03 15:47:24,395 ; shift
2019-02-03 15:47:24,427 ; shift
2019-02-03 15:47:24,459 ; shift
2019-02-03 15:47:24,491 ; shift
2019-02-03 15:47:24,523 ; shift
2019-02-03 15:47:24,555 ; shift
2019-02-03 15:47:24,587 ; shift
2019-02-03 15:47:24,619 ; shift
2019-02-03 15:47:24,651 ; shift
2019-02-03 15:47:24,683 ; shift
2019-02-03 15:47:24,715 ; shift
2019-02-03 15:47:24,747 ; shift
2019-02-03 15:47:24,778 ; shift
2019-02-03 15:47:24,810 ; shift
2019-02-03 15:47:24,842 ; shift
2019-02-03 15:47:24,875 ; shift
2019-02-03 15:47:24,907 ; shift
2019-02-03 15:47:24,938 ; shift
2019-02-03 15:47:24,971 ; shift
2019-02-03 15:47:25,002 ; shift
2019-02-03 15:47:25,034 ; shift
2019-02-03 15:47:25,066 ; shift
2019-02-03 15:47:25,098 ; shift
2019-02-03 15:47:25,130 ; shift
2019-02-03 15:47:25,162 ; shift
2019-02-03 15:47:25,194 ; shift
2019-02-03 15:47:25,226 ; shift
2019-02-03 15:47:25,258 ; shift
2019-02-03 15:47:25,290 ; shift
2019-02-03 15:47:25,322 ; shift
2019-02-03 15:47:25,354 ; shift
2019-02-03 15:47:25,386 ; shift
2019-02-03 15:47:25,418 ; shift
2019-02-03 15:47:25,451 ; shift
2019-02-03 15:47:25,481 ; shift
2019-02-03 15:47:25,513 ; shift
2019-02-03 15:47:25,545 ; shift
2019-02-03 15:47:25,577 ; shift
2019-02-03 15:47:25,609 ; shift
2019-02-03 15:47:25,641 ; shift
2019-02-03 15:47:25,673 ; shift
2019-02-03 15:47:25,705 ; shift
2019-02-03 15:47:25,737 ; shift
2019-02-03 15:47:25,769 ; shift
2019-02-03 15:47:25,801 ; shift
2019-02-03 15:47:25,833 ; shift
2019-02-03 15:47:25,865 ; shift
2019-02-03 15:47:25,897 ; shift
2019-02-03 15:47:25,929 ; shift
2019-02-03 15:47:25,961 ; shift
2019-02-03 15:47:25,993 ; shift
2019-02-03 15:47:26,025 ; shift
2019-02-03 15:47:26,057 ; shift
2019-02-03 15:47:26,089 ; shift
2019-02-03 15:47:26,121 ; shift
2019-02-03 15:47:26,152 ; shift
2019-02-03 15:47:26,184 ; shift
2019-02-03 15:47:26,216 ; shift
2019-02-03 15:47:26,248 ; shift
2019-02-03 15:47:26,281 ; shift
2019-02-03 15:47:26,312 ; shift
2019-02-03 15:47:26,344 ; shift
2019-02-03 15:47:26,376 ; shift
2019-02-03 15:47:26,408 ; shift
2019-02-03 15:47:26,440 ; shift
2019-02-03 15:47:26,472 ; shift
2019-02-03 15:47:26,504 ; shift
2019-02-03 15:47:26,537 ; shift
2019-02-03 15:47:26,569 ; shift
2019-02-03 15:47:26,601 ; shift
2019-02-03 15:47:26,633 ; shift
2019-02-03 15:47:26,665 ; shift
2019-02-03 15:47:26,697 ; shift
2019-02-03 15:47:26,729 ; shift
2019-02-03 15:47:26,760 ; shift
2019-02-03 15:47:26,792 ; shift
2019-02-03 15:47:26,803 ; g
