father,son,count
m,c,1
m,p,25
m,e,68
m,a,18
m,b,4
m,m,7
m,i,16
m,o,9
m,s,1
m,t,3
m,u,3
c,f,1
c,h,23
c,t,14
c,a,37
c,i,73
c,e,118
c,u,20
c,r,18
c,o,60
c,c,1
c,l,6
c,k,1
f,g,1
f,i,15
f,a,20
f,t,1
f,o,7
f,f,11
f,e,2
f,l,1
g,i,16
g,a,4
g,u,16
g,e,16
g,r,7
g,t,2
g,l,1
g,n,3
g,m,1
g,o,2
g,g,1
i,t,78
i,d,12
i,z,1
i,o,25
i,e,96
i,l,48
i,s,106
i,q,28
i,r,56
i,c,16
i,n,31
i,a,3
i,f,16
i,m,11
i,b,4
i,g,5
i,v,8
i,h,1
i,u,1
i,p,1
t,r,31
t,e,99
t,s,19
t,p,3
t,y,3
t,t,20
t,o,62
t,i,60
t,u,40
t,a,36
t,h,15
t,z,1
t,l,1
t,c,1
t,d,1
t,m,3
t,g,4
r,i,56
r,c,5
r,a,34
r,e,138
r,d,10
r,m,11
r,t,30
r,n,6
r,r,5
r,o,31
r,u,7
r,s,30
r,p,3
r,v,1
r,q,1
r,l,1
r,j,1
r,g,2
r,b,1
d,e,138
d,u,14
d,a,26
d,i,39
d,o,10
d,r,14
d,y,2
e,t,90
e,y,2
e,c,16
e,u,34
e,d,1
e,x,16
e,r,66
e,s,213
e,m,56
e,n,185
e,l,51
e,v,4
e,p,5
e,q,3
e,z,5
e,g,2
e,e,1
e,a,7
e,f,2
e,j,2
e,i,1
k,e,2
y,s,8
y,e,2
y,p,2
y,n,2
v,i,10
v,a,9
v,e,22
v,o,19
v,n,1
v,u,3
v,r,1
v,m,1
h,u,2
h,i,44
h,o,9
h,e,31
h,n,3
h,a,4
h,s,1
u,b,2
u,x,20
u,i,55
u,e,84
u,r,83
u,l,15
u,d,11
u,s,37
u,n,47
u,p,5
u,t,22
u,g,2
u,v,10
u,c,3
u,j,8
u,a,3
u,o,1
u,y,1
u,m,4
u,q,1
a,r,46
a,n,63
a,b,8
a,t,30
a,v,15
a,u,28
a,s,21
a,p,12
a,c,12
a,i,53
a,g,15
a,l,17
a,m,6
a,d,8
a,f,4
a,x,1
a,z,1
a,w,1
z,z,2
z,g,1
z,o,1
o,n,119
o,r,52
o,i,47
o,u,87
o,b,38
o,g,10
o,s,13
o,c,5
o,m,16
o,t,7
o,p,12
o,q,5
o,y,1
o,l,6
o,j,2
o,d,6
o,e,3
o,v,1
o,o,2
p,s,6
p,l,19
p,e,23
p,o,34
p,r,53
p,a,39
p,i,3
p,h,1
p,p,9
p,t,6
p,u,3
p,d,1
n,t,105
n,i,9
n,d,20
n,g,19
n,c,62
n,a,18
n,u,5
n,n,3
n,o,31
n,e,48
n,s,57
n,f,1
n,r,1
n,h,1
n,v,2
s,o,37
s,u,25
s,t,113
s,c,74
s,e,64
s,s,17
s,a,9
s,i,22
s,q,3
s,r,2
s,y,6
s,p,5
s,n,1
s,m,2
s,h,1
x,r,1
x,t,10
x,e,4
x,l,1
x,i,2
l,a,49
l,e,112
l,o,22
l,i,12
l,s,8
l,l,26
l,h,14
l,t,7
l,u,21
l,g,2
l,q,1
l,c,1
b,o,4
b,j,33
b,l,12
b,i,11
b,a,6
b,r,2
b,e,3
b,s,2
b,u,1
b,y,1
q,u,113
q,s,1
q,j,1
q,i,1
j,e,38
j,o,8
j,i,1
j,a,1
j,u,1
w,r,1
