date;stroke
2019-01-29 10:28:05,248;s
2019-01-29 10:28:05,303;e
2019-01-29 10:28:05,470;c
2019-01-29 10:28:05,679;u
2019-01-29 10:28:05,819;r
2019-01-29 10:28:05,904;e
2019-01-29 10:28:10,841;s
2019-01-29 10:28:10,940;e
2019-01-29 10:28:11,107;c
2019-01-29 10:28:12,782;enter
2019-01-29 10:29:34,352;f5
2019-01-29 10:29:38,359;ctrl_l
2019-01-29 10:29:38,426;t
2019-01-29 10:29:39,877;t
2019-01-29 10:29:39,962;w
2019-01-29 10:29:40,162;e
2019-01-29 10:29:40,323;e
2019-01-29 10:29:40,422;enter
2019-01-29 10:29:40,658;ctrl_l
2019-01-29 10:29:40,774;tab
2019-01-29 10:29:41,224;w
2019-01-29 10:29:41,795;ctrl_l
2019-01-29 10:29:42,293;ctrl_l
2019-01-29 10:29:42,325;ctrl_l
2019-01-29 10:29:42,357;ctrl_l
2019-01-29 10:29:42,389;ctrl_l
2019-01-29 10:29:42,420;ctrl_l
2019-01-29 10:29:42,452;ctrl_l
2019-01-29 10:29:42,484;ctrl_l
2019-01-29 10:29:42,516;ctrl_l
2019-01-29 10:29:42,548;ctrl_l
2019-01-29 10:29:42,551;t
2019-01-29 10:29:43,446;m
2019-01-29 10:29:43,491;e
2019-01-29 10:29:43,657;s
2019-01-29 10:29:43,816;enter
2019-01-29 10:29:44,361;ctrl_l
2019-01-29 10:29:44,447;t
2019-01-29 10:29:44,647;s
2019-01-29 10:29:44,795;c
2019-01-29 10:29:44,876;o
2019-01-29 10:29:45,083;enter
2019-01-29 10:29:45,226;ctrl_l
2019-01-29 10:29:45,348;tab
2019-01-29 10:29:50,672;shift
2019-01-29 10:29:50,677;ctrl_l
2019-01-29 10:29:50,866;tab
2019-01-29 10:30:01,667;ctrl_l
2019-01-29 10:30:01,675;shift
2019-01-29 10:30:01,868;tab
2019-01-29 10:30:03,649;enter
2019-01-29 10:30:04,009;ctrl_l
2019-01-29 10:30:04,018;shift
2019-01-29 10:30:04,090;tab
2019-01-29 10:30:14,314;ctrl_l
2019-01-29 10:30:14,813;ctrl_l
2019-01-29 10:30:14,826;tab
2019-01-29 10:30:15,122;tab
2019-01-29 10:30:16,066;enter
2019-01-29 10:30:16,531;shift
2019-01-29 10:30:16,545;ctrl_l
2019-01-29 10:30:16,728;tab
2019-01-29 10:30:17,293;ctrl_l
2019-01-29 10:30:17,312;shift
2019-01-29 10:30:17,410;tab
2019-01-29 10:30:20,697;ctrl_l
2019-01-29 10:30:20,742;shift
2019-01-29 10:30:20,868;tab
2019-01-29 10:30:21,991;ctrl_l
2019-01-29 10:30:32,558;down
2019-01-29 10:30:32,706;down
2019-01-29 10:30:32,892;down
2019-01-29 10:30:33,393;down
2019-01-29 10:30:33,424;down
2019-01-29 10:30:33,455;down
2019-01-29 10:30:33,487;down
2019-01-29 10:30:33,519;down
2019-01-29 10:30:33,552;down
2019-01-29 10:30:38,459;down
2019-01-29 10:30:59,318;ctrl_l
2019-01-29 10:30:59,570;w
2019-01-29 10:31:10,555;delete
2019-01-29 10:31:11,121;up
2019-01-29 10:31:16,110;delete
2019-01-29 10:31:16,466;up
2019-01-29 10:31:18,213;delete
2019-01-29 10:31:18,533;up
2019-01-29 10:31:23,561;delete
2019-01-29 10:31:24,978;ctrl_l
2019-01-29 10:31:25,417;w
2019-01-29 10:32:14,765;l
2019-01-29 10:32:14,988;y
2019-01-29 10:32:15,095;o
2019-01-29 10:32:15,287;n
2019-01-29 10:32:42,975;down
2019-01-29 10:32:44,063;down
2019-01-29 10:33:10,876;ctrl_l
2019-01-29 10:33:10,979;c
2019-01-29 10:33:13,018;ctrl_l
2019-01-29 10:33:13,147;v
2019-01-29 10:33:14,238;backspace
2019-01-29 10:34:21,052;t
2019-01-29 10:34:21,336;v
2019-01-29 10:34:21,675;backspace
2019-01-29 10:34:21,847;g
2019-01-29 10:34:22,059;v
2019-01-29 10:34:22,122;space
2019-01-29 10:34:22,310;l
2019-01-29 10:34:22,521;y
2019-01-29 10:34:22,642;o
2019-01-29 10:34:22,885;n
2019-01-29 10:34:23,107;space
2019-01-29 10:34:23,320;m
2019-01-29 10:34:23,376;a
2019-01-29 10:34:23,583;r
2019-01-29 10:34:23,884;s
2019-01-29 10:34:24,071;e
2019-01-29 10:34:24,156;i
2019-01-29 10:34:24,371;l
2019-01-29 10:34:24,477;l
2019-01-29 10:34:24,594;e
2019-01-29 10:34:25,406;backspace
2019-01-29 10:34:25,775;e
2019-01-29 10:34:25,858;enter
2019-01-29 10:34:31,335;down
2019-01-29 10:34:31,836;down
2019-01-29 10:34:31,867;down
2019-01-29 10:34:32,268;down
2019-01-29 10:34:32,762;down
2019-01-29 10:34:33,008;down
2019-01-29 10:34:33,504;down
2019-01-29 10:34:33,536;down
2019-01-29 10:34:33,568;down
2019-01-29 10:34:33,600;down
2019-01-29 10:34:33,633;down
2019-01-29 10:34:33,664;down
2019-01-29 10:34:34,165;down
2019-01-29 10:34:34,408;down
2019-01-29 10:34:34,906;down
2019-01-29 10:34:34,938;down
2019-01-29 10:34:34,970;down
2019-01-29 10:34:35,002;down
2019-01-29 10:34:35,034;down
2019-01-29 10:34:35,066;down
2019-01-29 10:34:36,683;down
2019-01-29 10:34:37,182;down
2019-01-29 10:34:37,215;down
2019-01-29 10:34:37,246;down
2019-01-29 10:34:37,278;down
2019-01-29 10:34:37,310;down
2019-01-29 10:34:37,342;down
2019-01-29 10:34:37,374;down
2019-01-29 10:34:37,407;down
2019-01-29 10:34:37,439;down
2019-01-29 10:34:37,470;down
2019-01-29 10:34:37,502;down
2019-01-29 10:34:37,837;down
2019-01-29 10:34:38,294;ctrl_l
2019-01-29 10:34:38,559;w
2019-01-29 10:34:39,422;ctrl_l
2019-01-29 10:34:39,531;shift
2019-01-29 10:34:39,751;tab
2019-01-29 10:34:41,953;down
2019-01-29 10:34:42,485;down
2019-01-29 10:34:42,754;down
2019-01-29 10:34:42,981;down
2019-01-29 10:34:43,206;down
2019-01-29 10:34:43,440;down
2019-01-29 10:35:08,593;up
2019-01-29 10:35:09,341;up
2019-01-29 10:35:16,690;up
2019-01-29 10:35:17,188;up
2019-01-29 10:35:17,220;up
2019-01-29 10:35:17,252;up
2019-01-29 10:35:17,283;up
2019-01-29 10:35:17,315;up
2019-01-29 10:35:17,347;up
2019-01-29 10:35:17,379;up
2019-01-29 10:35:17,411;up
2019-01-29 10:35:17,443;up
2019-01-29 10:35:17,475;up
2019-01-29 10:35:17,507;up
2019-01-29 10:35:17,539;up
2019-01-29 10:35:17,571;up
2019-01-29 10:35:17,602;up
2019-01-29 10:35:17,635;up
2019-01-29 10:35:17,666;up
2019-01-29 10:35:17,698;up
2019-01-29 10:35:17,731;up
2019-01-29 10:35:17,763;up
2019-01-29 10:35:17,794;up
2019-01-29 10:35:25,206;a
2019-01-29 10:35:25,373;i
2019-01-29 10:35:25,481;x
2019-01-29 10:36:42,409;ctrl_l
2019-01-29 10:36:42,454;t
2019-01-29 10:36:42,798;b
2019-01-29 10:36:42,881;u
2019-01-29 10:36:42,983;s
2019-01-29 10:36:43,091;space
2019-01-29 10:36:43,369;i
2019-01-29 10:36:43,694;backspace
2019-01-29 10:36:43,955;a
2019-01-29 10:36:44,090;i
2019-01-29 10:36:44,287;x
2019-01-29 10:36:44,397;space
2019-01-29 10:36:44,619;t
2019-01-29 10:36:44,901;g
2019-01-29 10:36:45,139;v
2019-01-29 10:36:45,209;space
2019-01-29 10:36:45,353;m
2019-01-29 10:36:45,442;a
2019-01-29 10:36:45,778;r
2019-01-29 10:36:46,269;s
2019-01-29 10:36:46,437;e
2019-01-29 10:36:46,493;i
2019-01-29 10:36:46,684;l
2019-01-29 10:36:46,808;l
2019-01-29 10:36:46,916;e
2019-01-29 10:36:47,088;enter
2019-01-29 10:36:51,292;ctrl_l
2019-01-29 10:36:51,480;w
2019-01-29 10:36:53,234;enter
2019-01-29 10:36:58,974;down
2019-01-29 10:36:59,302;down
2019-01-29 10:36:59,556;down
2019-01-29 10:37:06,947;ctrl_l
2019-01-29 10:37:07,088;shift
2019-01-29 10:37:07,275;tab
2019-01-29 10:37:07,938;tab
2019-01-29 10:37:15,319;a
2019-01-29 10:37:15,431;i
2019-01-29 10:37:15,535;x
2019-01-29 10:38:40,336;a
2019-01-29 10:38:40,485;i
2019-01-29 10:38:40,594;x
2019-01-29 10:39:20,380;down
2019-01-29 10:39:21,045;down
2019-01-29 10:39:22,425;down
2019-01-29 10:39:23,964;down
2019-01-29 10:39:25,454;up
2019-01-29 10:39:25,948;up
2019-01-29 10:39:26,636;up
2019-01-29 10:39:33,800;up
2019-01-29 10:39:34,808;down
2019-01-29 10:39:42,947;up
2019-01-29 10:39:43,446;up
2019-01-29 10:39:43,478;up
2019-01-29 10:39:43,510;up
2019-01-29 10:39:43,541;up
2019-01-29 10:39:43,573;up
2019-01-29 10:39:43,605;up
2019-01-29 10:39:43,639;up
2019-01-29 10:39:43,670;up
2019-01-29 10:39:43,702;up
2019-01-29 10:39:43,733;up
2019-01-29 10:39:43,765;up
2019-01-29 10:39:48,213;m
2019-01-29 10:39:48,311;a
2019-01-29 10:39:48,494;r
2019-01-29 10:39:48,741;s
2019-01-29 10:39:48,931;e
2019-01-29 10:39:49,025;i
2019-01-29 10:39:49,102;l
2019-01-29 10:44:57,815;a
2019-01-29 10:44:57,952;i
2019-01-29 10:44:58,060;v
2019-01-29 10:44:58,230;g
2019-01-29 10:44:58,284;n
2019-01-29 10:44:58,360;o
2019-01-29 10:44:58,441;n
2019-01-29 10:45:00,033;backspace
2019-01-29 10:45:00,220;backspace
2019-01-29 10:45:00,359;backspace
2019-01-29 10:45:00,512;backspace
2019-01-29 10:45:00,663;backspace
2019-01-29 10:45:00,798;backspace
2019-01-29 10:45:01,412;v
2019-01-29 10:45:01,493;i
2019-01-29 10:45:01,581;g
2019-01-29 10:45:01,627;n
2019-01-29 10:45:01,716;o
2019-01-29 10:45:01,783;n
2019-01-29 10:47:59,418;ctrl_l
2019-01-29 10:47:59,916;ctrl_l
2019-01-29 10:47:59,948;ctrl_l
2019-01-29 10:47:59,980;ctrl_l
2019-01-29 10:48:00,012;ctrl_l
2019-01-29 10:48:00,044;ctrl_l
2019-01-29 10:48:00,075;ctrl_l
2019-01-29 10:48:00,108;ctrl_l
2019-01-29 10:48:00,139;ctrl_l
2019-01-29 10:48:00,172;ctrl_l
2019-01-29 10:48:00,204;ctrl_l
2019-01-29 10:48:00,236;ctrl_l
2019-01-29 10:48:00,268;ctrl_l
2019-01-29 10:48:00,300;ctrl_l
2019-01-29 10:48:00,331;ctrl_l
2019-01-29 10:48:00,363;ctrl_l
2019-01-29 10:48:00,395;ctrl_l
2019-01-29 10:48:37,670;down
2019-01-29 10:48:44,289;down
2019-01-29 10:48:49,043;down
2019-01-29 10:48:49,465;down
2019-01-29 10:48:49,666;down
2019-01-29 10:48:50,029;down
2019-01-29 10:48:51,611;down
2019-01-29 10:49:01,089;down
2019-01-29 10:49:22,006;down
2019-01-29 10:49:22,560;down
2019-01-29 10:49:23,056;down
2019-01-29 10:49:23,088;down
2019-01-29 10:49:23,120;down
2019-01-29 10:49:23,152;down
2019-01-29 10:49:23,184;down
2019-01-29 10:49:23,686;down
2019-01-29 10:49:24,183;down
2019-01-29 10:49:25,398;down
2019-01-29 10:49:26,223;down
2019-01-29 10:49:26,730;down
2019-01-29 10:49:26,761;down
2019-01-29 10:49:26,794;down
2019-01-29 10:49:26,826;down
2019-01-29 10:49:29,248;down
2019-01-29 10:49:29,492;down
2019-01-29 10:49:29,734;down
2019-01-29 10:49:29,943;down
2019-01-29 10:49:30,173;down
2019-01-29 10:49:30,415;down
2019-01-29 10:49:30,710;down
2019-01-29 10:49:33,735;down
2019-01-29 10:49:34,234;down
2019-01-29 10:49:34,266;down
2019-01-29 10:49:34,298;down
2019-01-29 10:49:34,330;down
2019-01-29 10:49:34,362;down
2019-01-29 10:49:34,394;down
2019-01-29 10:49:34,426;down
2019-01-29 10:49:34,458;down
2019-01-29 10:49:34,490;down
2019-01-29 10:49:34,522;down
2019-01-29 10:49:34,554;down
2019-01-29 10:49:34,586;down
2019-01-29 10:49:34,618;down
2019-01-29 10:49:35,406;down
2019-01-29 10:49:35,882;down
2019-01-29 10:49:36,534;up
2019-01-29 10:49:38,332;up
2019-01-29 10:49:39,086;down
2019-01-29 10:49:39,583;down
2019-01-29 10:49:39,615;down
2019-01-29 10:49:39,651;down
2019-01-29 10:49:39,678;down
2019-01-29 10:49:39,710;down
2019-01-29 10:49:39,743;down
2019-01-29 10:49:39,774;down
2019-01-29 10:49:39,806;down
2019-01-29 10:49:39,838;down
2019-01-29 10:49:39,870;down
2019-01-29 10:49:39,902;down
2019-01-29 10:49:40,228;down
2019-01-29 10:49:40,733;down
2019-01-29 10:49:40,764;down
2019-01-29 10:49:40,797;down
2019-01-29 10:49:40,829;down
2019-01-29 10:49:40,860;down
2019-01-29 10:49:40,892;down
2019-01-29 10:49:40,924;down
2019-01-29 10:49:40,956;down
2019-01-29 10:49:41,189;down
2019-01-29 10:49:41,687;down
2019-01-29 10:49:41,719;down
2019-01-29 10:49:41,751;down
2019-01-29 10:49:41,783;down
2019-01-29 10:49:41,815;down
2019-01-29 10:49:41,847;down
2019-01-29 10:49:41,879;down
2019-01-29 10:49:42,077;down
2019-01-29 10:49:42,573;down
2019-01-29 10:49:42,606;down
2019-01-29 10:49:42,638;down
2019-01-29 10:49:42,669;down
2019-01-29 10:49:42,701;down
2019-01-29 10:49:42,733;down
2019-01-29 10:49:42,765;down
2019-01-29 10:49:42,797;down
2019-01-29 10:49:42,829;down
2019-01-29 10:49:42,861;down
2019-01-29 10:49:42,893;down
2019-01-29 10:49:42,926;down
2019-01-29 10:49:42,957;down
2019-01-29 10:49:42,988;down
2019-01-29 10:49:43,021;down
2019-01-29 10:49:43,053;down
2019-01-29 10:49:43,085;down
2019-01-29 10:49:43,117;down
2019-01-29 10:49:43,149;down
2019-01-29 10:49:43,180;down
2019-01-29 10:49:43,213;down
2019-01-29 10:49:43,244;down
2019-01-29 10:49:43,276;down
2019-01-29 10:49:43,308;down
2019-01-29 10:49:43,340;down
2019-01-29 10:49:43,372;down
2019-01-29 10:49:43,404;down
2019-01-29 10:49:43,436;down
2019-01-29 10:49:43,468;down
2019-01-29 10:49:43,500;down
2019-01-29 10:49:44,041;down
2019-01-29 10:49:44,538;down
2019-01-29 10:49:44,570;down
2019-01-29 10:49:44,603;down
2019-01-29 10:49:44,634;down
2019-01-29 10:49:44,666;down
2019-01-29 10:49:44,698;down
2019-01-29 10:49:44,730;down
2019-01-29 10:49:44,921;down
2019-01-29 10:49:47,486;down
2019-01-29 10:49:48,177;down
2019-01-29 10:49:48,699;down
2019-01-29 10:49:49,263;up
2019-01-29 10:49:50,138;down
2019-01-29 10:49:50,637;down
2019-01-29 10:49:50,669;down
2019-01-29 10:49:50,701;down
2019-01-29 10:49:50,733;down
2019-01-29 10:49:51,001;down
2019-01-29 10:49:51,481;down
2019-01-29 10:49:52,733;down
2019-01-29 10:49:53,149;down
2019-01-29 10:49:53,649;down
2019-01-29 10:49:53,680;down
2019-01-29 10:49:53,713;down
2019-01-29 10:49:53,744;down
2019-01-29 10:49:53,776;down
2019-01-29 10:49:53,808;down
2019-01-29 10:49:53,840;down
2019-01-29 10:49:53,872;down
2019-01-29 10:49:54,187;up
2019-01-29 10:49:54,687;up
2019-01-29 10:49:54,719;up
2019-01-29 10:49:54,751;up
2019-01-29 10:49:54,782;up
2019-01-29 10:49:54,815;up
2019-01-29 10:49:54,847;up
2019-01-29 10:49:54,879;up
2019-01-29 10:49:54,910;up
2019-01-29 10:49:54,942;up
2019-01-29 10:49:56,567;down
2019-01-29 10:49:57,063;down
2019-01-29 10:49:57,095;down
2019-01-29 10:49:57,127;down
2019-01-29 10:49:57,159;down
2019-01-29 10:49:57,191;down
2019-01-29 10:49:57,223;down
2019-01-29 10:49:57,255;down
2019-01-29 10:49:57,287;down
2019-01-29 10:49:57,322;down
2019-01-29 10:49:57,350;down
2019-01-29 10:49:57,382;down
2019-01-29 10:49:57,414;down
2019-01-29 10:49:57,447;down
2019-01-29 10:49:58,636;up
2019-01-29 10:50:00,876;down
2019-01-29 10:50:01,373;down
2019-01-29 10:50:01,405;down
2019-01-29 10:50:01,437;down
2019-01-29 10:50:01,469;down
2019-01-29 10:50:01,501;down
2019-01-29 10:50:01,533;down
2019-01-29 10:50:01,565;down
2019-01-29 10:50:01,597;down
2019-01-29 10:50:01,628;down
2019-01-29 10:50:02,311;down
2019-01-29 10:50:02,913;down
2019-01-29 10:50:04,678;down
2019-01-29 10:50:07,326;down
2019-01-29 10:50:08,224;down
2019-01-29 10:50:08,773;down
2019-01-29 10:50:09,107;down
2019-01-29 10:50:09,601;down
2019-01-29 10:50:09,651;down
2019-01-29 10:50:09,673;down
